window_size,learning_rate,batch_size,layer1_units,layer2_units,dropout_rate,train_rmse,val_rmse,epochs_run,train_time_s
20,0.0001,32,128,64,0.2,26.611522674560547,6.605682849884033,41,6.2
20,0.0001,64,128,64,0.3,31.012191772460938,6.691507816314697,59,7.31
20,0.0001,32,128,64,0.3,26.116024017333984,6.790031909942627,38,5.87
20,0.0001,32,128,128,0.3,26.009689331054688,6.981179237365723,29,4.71
30,0.0001,64,256,64,0.3,21.527721405029297,7.16965913772583,52,6.09
30,0.0001,32,128,128,0.3,23.527803421020508,7.271215915679932,29,4.31
20,0.001,32,128,64,0.2,23.259639739990234,7.368183612823486,9,2.37
30,0.0001,32,256,128,0.3,24.629661560058594,7.448226451873779,23,3.96
30,0.0001,64,256,128,0.2,24.831811904907227,7.6453447341918945,37,4.86
20,0.001,64,128,128,0.3,20.47606086730957,7.682284355163574,12,8.23
30,0.0001,64,128,128,0.2,22.080860137939453,7.75331449508667,48,5.84
20,0.001,32,256,128,0.3,12.509284973144531,7.805377960205078,19,3.35
30,0.0001,32,128,64,0.2,29.0338191986084,7.892848014831543,35,5.4
20,0.0001,64,256,128,0.3,21.52361488342285,7.925450325012207,44,5.94
20,0.001,64,128,64,0.2,23.791297912597656,7.983175754547119,13,2.36
20,0.0001,64,128,64,0.2,32.4051399230957,8.114701271057129,63,7.58
30,0.0001,64,128,64,0.3,26.954551696777344,8.1156005859375,62,6.9
20,0.0001,32,256,64,0.2,27.178220748901367,8.233148574829102,27,4.75
20,0.0001,32,256,64,0.3,26.305885314941406,8.267672538757324,31,5.09
20,0.001,32,256,64,0.2,21.566429138183594,8.304892539978027,10,2.44
20,0.001,64,256,128,0.3,20.848201751708984,8.34915828704834,10,1.96
20,0.001,64,128,64,0.3,29.508085250854492,8.367980003356934,12,2.1
20,0.0001,64,256,64,0.3,29.222017288208008,8.377696990966797,47,5.73
30,0.001,32,128,128,0.3,24.955270767211914,8.40226936340332,8,1.89
30,0.0001,64,256,64,0.2,23.134862899780273,8.436030387878418,46,5.61
20,0.0001,32,256,128,0.3,23.352956771850586,8.439208030700684,25,4.46
30,0.0001,32,256,64,0.3,29.31674575805664,8.450858116149902,27,4.18
20,0.001,32,128,128,0.3,24.601806640625,8.458191871643066,9,2.41
20,0.001,32,128,128,0.2,25.800247192382812,8.46218490600586,8,2.24
20,0.001,32,128,64,0.3,29.803951263427734,8.607059478759766,9,2.42
30,0.0001,32,256,64,0.2,27.20549774169922,9.053854942321777,25,4.03
20,0.001,64,256,64,0.2,14.01781177520752,9.15029525756836,20,3.02
20,0.001,32,256,64,0.3,19.686201095581055,9.452686309814453,12,2.46
20,0.001,64,256,64,0.3,20.71725845336914,9.791291236877441,15,2.5
30,0.0001,64,128,64,0.2,26.189434051513672,9.842466354370117,50,5.71
30,0.0001,32,128,128,0.2,21.86343765258789,9.92918872833252,33,5.0
20,0.0001,32,256,128,0.2,24.720430374145508,10.078023910522461,21,4.06
30,0.0001,32,128,64,0.3,26.964664459228516,10.10966968536377,37,5.54
30,0.001,32,256,128,0.2,21.45400047302246,10.252716064453125,8,2.04
30,0.0001,32,256,128,0.2,24.13597869873047,10.28289794921875,22,3.84
30,0.001,64,256,128,0.3,11.013423919677734,10.356342315673828,22,3.29
20,0.0001,64,128,128,0.3,27.650733947753906,10.575264930725098,41,5.4
20,0.001,64,256,128,0.2,14.49448299407959,10.840002059936523,14,2.47
30,0.001,32,256,64,0.3,25.938770294189453,11.041991233825684,8,1.97
30,0.001,64,128,128,0.2,18.115497589111328,11.211169242858887,13,2.15
20,0.001,32,256,128,0.2,36.146060943603516,11.251555442810059,7,2.08
30,0.001,64,128,64,0.2,21.167428970336914,11.651501655578613,13,2.19
20,0.0001,64,128,128,0.2,33.087432861328125,11.792218208312988,35,4.71
30,0.001,32,128,64,0.2,22.906097412109375,12.183856964111328,10,2.5
20,0.001,64,128,128,0.2,20.27743911743164,12.2293701171875,12,2.31
30,0.001,32,128,128,0.2,28.395095825195312,12.640854835510254,8,2.0
30,0.0001,64,128,128,0.3,32.20327377319336,12.909379959106445,38,4.84
20,0.0001,64,256,128,0.2,30.910789489746094,13.152024269104004,25,3.47
30,0.001,64,256,64,0.2,18.478530883789062,13.520998001098633,14,2.31
20,0.0001,64,256,64,0.2,34.530921936035156,13.53695011138916,30,4.05
30,0.0001,64,256,128,0.3,32.380149841308594,13.625097274780273,26,3.71
20,0.0001,32,128,128,0.2,36.712162017822266,13.856038093566895,20,3.33
30,0.001,64,128,64,0.3,23.303050994873047,14.512541770935059,12,2.06
30,0.001,32,128,64,0.3,22.604934692382812,14.553275108337402,10,2.51
30,0.001,64,256,64,0.3,26.958974838256836,15.308212280273438,10,1.91
30,0.001,32,256,128,0.3,21.75395965576172,15.689105987548828,8,2.01
30,0.001,64,128,128,0.3,17.483497619628906,16.254642486572266,13,2.17
30,0.001,64,256,128,0.2,17.271991729736328,18.03814697265625,12,2.12
30,0.001,32,256,64,0.2,25.240978240966797,18.884111404418945,8,1.91
